latitude,longitude,time,VHM0
26.0,-19.0,1993-01-01,1.55
26.0,-18.950000762939453,1993-01-01,1.54
26.0,-18.899999618530273,1993-01-01,1.53
26.0,-18.850000381469727,1993-01-01,1.52
26.0,-18.799999237060547,1993-01-01,1.51
26.0,-18.75,1993-01-01,1.51
26.0,-18.700000762939453,1993-01-01,1.5
26.0,-18.649999618530273,1993-01-01,1.49
26.0,-18.600000381469727,1993-01-01,1.48
26.0,-18.549999237060547,1993-01-01,1.4699999
26.049999237060547,-19.0,1993-01-01,1.56
26.049999237060547,-18.950000762939453,1993-01-01,1.55
26.049999237060547,-18.899999618530273,1993-01-01,1.54
26.049999237060547,-18.850000381469727,1993-01-01,1.53
26.049999237060547,-18.799999237060547,1993-01-01,1.52
26.049999237060547,-18.75,1993-01-01,1.51
26.049999237060547,-18.700000762939453,1993-01-01,1.5
26.049999237060547,-18.649999618530273,1993-01-01,1.49
26.049999237060547,-18.600000381469727,1993-01-01,1.48
26.049999237060547,-18.549999237060547,1993-01-01,1.4699999
26.100000381469727,-19.0,1993-01-01,1.5699999
26.100000381469727,-18.950000762939453,1993-01-01,1.56
26.100000381469727,-18.899999618530273,1993-01-01,1.55
26.100000381469727,-18.850000381469727,1993-01-01,1.54
26.100000381469727,-18.799999237060547,1993-01-01,1.53
26.100000381469727,-18.75,1993-01-01,1.52
26.100000381469727,-18.700000762939453,1993-01-01,1.51
26.100000381469727,-18.649999618530273,1993-01-01,1.5
26.100000381469727,-18.600000381469727,1993-01-01,1.49
26.100000381469727,-18.549999237060547,1993-01-01,1.48
26.149999618530273,-19.0,1993-01-01,1.5699999
26.149999618530273,-18.950000762939453,1993-01-01,1.56
26.149999618530273,-18.899999618530273,1993-01-01,1.55
26.149999618530273,-18.850000381469727,1993-01-01,1.54
26.149999618530273,-18.799999237060547,1993-01-01,1.53
26.149999618530273,-18.75,1993-01-01,1.53
26.149999618530273,-18.700000762939453,1993-01-01,1.52
26.149999618530273,-18.649999618530273,1993-01-01,1.51
26.149999618530273,-18.600000381469727,1993-01-01,1.5
26.149999618530273,-18.549999237060547,1993-01-01,1.48
26.200000762939453,-19.0,1993-01-01,1.5799999
26.200000762939453,-18.950000762939453,1993-01-01,1.5699999
26.200000762939453,-18.899999618530273,1993-01-01,1.56
26.200000762939453,-18.850000381469727,1993-01-01,1.55
26.200000762939453,-18.799999237060547,1993-01-01,1.54
26.200000762939453,-18.75,1993-01-01,1.53
26.200000762939453,-18.700000762939453,1993-01-01,1.52
26.200000762939453,-18.649999618530273,1993-01-01,1.51
26.200000762939453,-18.600000381469727,1993-01-01,1.5
26.200000762939453,-18.549999237060547,1993-01-01,1.49
26.25,-19.0,1993-01-01,1.5899999
26.25,-18.950000762939453,1993-01-01,1.5799999
26.25,-18.899999618530273,1993-01-01,1.5699999
26.25,-18.850000381469727,1993-01-01,1.56
26.25,-18.799999237060547,1993-01-01,1.55
26.25,-18.75,1993-01-01,1.54
26.25,-18.700000762939453,1993-01-01,1.53
26.25,-18.649999618530273,1993-01-01,1.52
26.25,-18.600000381469727,1993-01-01,1.51
26.25,-18.549999237060547,1993-01-01,1.5
26.299999237060547,-19.0,1993-01-01,1.5999999
26.299999237060547,-18.950000762939453,1993-01-01,1.5899999
26.299999237060547,-18.899999618530273,1993-01-01,1.5799999
26.299999237060547,-18.850000381469727,1993-01-01,1.56
26.299999237060547,-18.799999237060547,1993-01-01,1.55
26.299999237060547,-18.75,1993-01-01,1.55
26.299999237060547,-18.700000762939453,1993-01-01,1.54
26.299999237060547,-18.649999618530273,1993-01-01,1.52
26.299999237060547,-18.600000381469727,1993-01-01,1.51
26.299999237060547,-18.549999237060547,1993-01-01,1.5
26.350000381469727,-19.0,1993-01-01,1.61
26.350000381469727,-18.950000762939453,1993-01-01,1.5999999
26.350000381469727,-18.899999618530273,1993-01-01,1.5799999
26.350000381469727,-18.850000381469727,1993-01-01,1.5699999
26.350000381469727,-18.799999237060547,1993-01-01,1.56
26.350000381469727,-18.75,1993-01-01,1.55
26.350000381469727,-18.700000762939453,1993-01-01,1.54
26.350000381469727,-18.649999618530273,1993-01-01,1.53
26.350000381469727,-18.600000381469727,1993-01-01,1.52
26.350000381469727,-18.549999237060547,1993-01-01,1.51
26.399999618530273,-19.0,1993-01-01,1.62
26.399999618530273,-18.950000762939453,1993-01-01,1.5999999
26.399999618530273,-18.899999618530273,1993-01-01,1.5899999
26.399999618530273,-18.850000381469727,1993-01-01,1.5799999
26.399999618530273,-18.799999237060547,1993-01-01,1.5699999
26.399999618530273,-18.75,1993-01-01,1.56
26.399999618530273,-18.700000762939453,1993-01-01,1.55
26.399999618530273,-18.649999618530273,1993-01-01,1.54
26.399999618530273,-18.600000381469727,1993-01-01,1.53
26.399999618530273,-18.549999237060547,1993-01-01,1.51
26.450000762939453,-19.0,1993-01-01,1.62
26.450000762939453,-18.950000762939453,1993-01-01,1.61
26.450000762939453,-18.899999618530273,1993-01-01,1.5999999
26.450000762939453,-18.850000381469727,1993-01-01,1.5899999
26.450000762939453,-18.799999237060547,1993-01-01,1.5799999
26.450000762939453,-18.75,1993-01-01,1.5699999
26.450000762939453,-18.700000762939453,1993-01-01,1.56
26.450000762939453,-18.649999618530273,1993-01-01,1.54
26.450000762939453,-18.600000381469727,1993-01-01,1.53
26.450000762939453,-18.549999237060547,1993-01-01,1.52
